latitude,longitude
10.0069921,76.3735699
10.0069916,76.3736082
10.0069913,76.3735979
10.0070376,76.3733017
10.0070513,76.3733353
10.0070688,76.373379
10.0070527,76.3733482
10.0070499,76.3733462
10.0070452,76.3733436
10.0070434,76.3733426
10.0070427,76.3733421
10.0070423,76.3733419
10.0070422,76.3733419
10.0070571,76.373353
10.0070677,76.3733608
10.0070813,76.3733702
10.0070924,76.3733762
10.0080234,76.4833092
10.0071039,76.3733808
10.0071086,76.3733825
10.0071138,76.3733843
10.0071176,76.3733856
10.0071905,76.3734965
10.0071925,76.3735023
10.0071939,76.3735066
10.0071955,76.3735109
10.0072086,76.3735318
10.0072114,76.3735353
10.0072157,76.3735401
10.0072236,76.3735475
10.0064398,76.5674298
10.0072328,76.3735519
10.0072387,76.3735557
10.0072564,76.3735643
10.0072603,76.373566
10.0072651,76.3735684
10.0072696,76.373571
10.0072746,76.3735744
10.0072791,76.3735782
10.0072878,76.3735864
10.0073008,76.3735944
10.0073072,76.3736
10.0073071,76.3736016
10.0073069,76.3736038
10.0073072,76.3736069
10.0073076,76.3736104
10.007309,76.3736176
10.0073103,76.3736216
10.0073122,76.3736207
10.007283,76.3736258
10.0072769,76.3736367
10.0072731,76.3736439
10.0072696,76.3736492
10.007266,76.3736515
10.0072536,76.3736442
10.0056393,76.4729384
10.0072407,76.3736338
10.0072314,76.3736311
10.0072269,76.3736289
10.0072086,76.3736237
10.0072046,76.3736214
10.007196,76.3736218
10.0071875,76.3736225
10.0071792,76.3736247
10.0071766,76.3736256
10.0071808,76.3736248
10.0071849,76.3736244
10.0071875,76.3736247
10.0071883,76.3736259
10.0071889,76.3736272
10.0071891,76.3736288
10.0071896,76.3736303
10.007188,76.3736329
10.0071854,76.373636
10.0072035,76.3736496
10.0072096,76.373654
10.0072046,76.373655
10.0072023,76.373655
10.0071942,76.3736521
10.0071913,76.3736501
10.0071896,76.3736498
12.0075892,75.372934
10.0071818,76.3736527
10.0071827,76.3736506
10.0071841,76.373645
10.0071842,76.3736415
10.0071836,76.3736375
10.0071779,76.3736354
10.0071879,76.3736358
10.0071924,76.373619
10.0071947,76.3736161
10.0072012,76.3736154
10.0072008,76.3736162
10.0072009,76.3736175
10.0072682,76.3735566
10.0072796,76.373547
10.0072763,76.37355
10.0072725,76.3735541
10.0072666,76.3735689
10.0072646,76.3735687
10.0072734,76.3735839
10.0072777,76.3735828
10.007316,76.3735819
10.0073183,76.373581
10.0073299,76.3735794
10.0073279,76.3735792
10.0073339,76.373583
10.0073406,76.3735872
10.0073403,76.3735658
10.007331,76.3735465
10.0073135,76.3735472
10.007314,76.3735592
10.0071999,76.3737963
10.0071166,76.373866
10.0071084,76.3738641
10.0070573,76.3738465
10.0070555,76.3738335
10.0069673,76.3739257
10.0069071,76.3740074
10.0067238,76.3740573
10.0066597,76.3740669
10.0064289,76.3739923
10.0060826,76.3739148
10.0057735,76.3739974
10.0055107,76.374074
10.0053456,76.3741338
10.0051303,76.3742066
10.0051196,76.3741962
10.005042,76.3740155
10.0050196,76.3738476
10.004987,76.373696
10.0049127,76.3734951
10.0048249,76.3733265
10.0047433,76.3731021
10.0047113,76.3730271
10.0045402,76.3727944
10.0042774,76.3724163
10.004033,76.3720908
10.0038038,76.3717129
10.0036186,76.3713062
10.0035548,76.3710035
10.0035359,76.3706933
10.0035618,76.3706068
10.0035765,76.3706003
10.0035859,76.3705868
10.0036048,76.3705565
10.003607,76.3705559
10.0035875,76.3705231
10.0035786,76.3705477
10.0035761,76.3705555
10.003576,76.3705558
10.0036307,76.3705017
10.0038392,76.3702895
10.004111,76.3700092
10.004342,76.3697711
10.0045031,76.3695861
10.0046943,76.3693715
10.0049034,76.369176
10.0050863,76.3689736
10.0052377,76.3687661
10.0055205,76.3685339
10.005793,76.3683252
10.0060833,76.3680625
10.0062293,76.367757
10.0063157,76.3674843
10.0064317,76.3672708
10.0066114,76.3671063
10.0068492,76.3669552
10.0070756,76.3668305
10.0073088,76.3667333
10.007597,76.3666762
10.0079215,76.3665814
10.0082883,76.3665314
10.0086228,76.3665962
10.008946,76.3666537
10.0092452,76.3666719
10.0095374,76.366483
10.0098837,76.3662327
10.0102717,76.3660761
10.0106463,76.3659441
10.010913,76.3658132
10.0111719,76.3657005
10.0114263,76.3655964
10.0117317,76.3654218
10.0120807,76.3652423
10.0123768,76.3650745
10.0127459,76.3648714
10.0131236,76.3646397
10.0134881,76.3644509
10.0138488,76.3643469
10.0142044,76.3642298
10.0145455,76.3641297
10.01495,76.3640006
10.0151883,76.3638417
10.0152567,76.3636326
10.015166,76.3634348
10.0150012,76.3631488
10.014862,76.3630281
10.0148472,76.3627585
10.0150286,76.3625723
10.015326,76.3624284
10.0155851,76.3622623
10.015843,76.3620602
10.0160264,76.3618339
10.0160614,76.3615723
10.0161496,76.3613075
10.0162604,76.3609746
10.0163356,76.3606513
10.0163512,76.3603802
10.016293,76.3601213
10.0162515,76.3598666
10.0162064,76.3595997
10.0161593,76.3593323
10.0161304,76.3591199
10.0161377,76.3589231
10.0161371,76.3589114
10.0161233,76.3587529
10.0160513,76.3584963
10.0160032,76.358304
10.015962,76.3580208
10.0159448,76.357806
10.0158997,76.3575614
10.0158689,76.3574636
10.0158161,76.3572782
10.0157438,76.3569779
10.015706,76.3567756
10.0156731,76.3567155
10.0156016,76.3565414
10.0155917,76.3565097
10.0155456,76.3563418
10.015527,76.3562827
10.0154853,76.3560568
10.0154422,76.3557624
10.0154265,76.355491
10.0154007,76.3552693
10.0154068,76.3552025
10.0154152,76.355124
10.0154067,76.3549693
10.0153928,76.3548909
10.0154122,76.3547655
10.0154155,76.3547314
10.0154596,76.3544274
10.0155579,76.3541318
10.0157013,76.3539108
10.0158783,76.3536529
10.0159884,76.3532868
10.0160762,76.352871
10.0162293,76.3525817
10.0162496,76.352561
10.0164509,76.3524131
10.0166894,76.3522188
10.0169504,76.3519747
10.0172282,76.3517407
10.0173749,76.3515668
10.0173998,76.3514589
10.0173327,76.3514739
10.0174485,76.351381
10.0175761,76.3511581
10.0176189,76.351025
10.0176421,76.3509461
10.0177251,76.3506824
10.0177521,76.3506078
10.0178235,76.3504462
10.0178268,76.350436
10.0178835,76.3503074
10.0179311,76.3502142
10.0172325,76.452062
10.017982,76.3499448
10.0179661,76.3498918
10.0179577,76.3498808
10.0179528,76.3498608
10.0179354,76.3498599
10.0179334,76.3498641
10.0179244,76.3499067
10.0179199,76.3498955
10.0179203,76.349893
10.0179204,76.3498932
10.0179256,76.3498833
10.0179317,76.3498776
10.0179317,76.3498776
10.0179375,76.3498755
10.0179379,76.3498754
10.0179427,76.3498726
10.0179443,76.3498713
10.0179442,76.3498713
10.0179458,76.3498707
10.0179459,76.3498707
10.017948,76.3498683
10.0179489,76.3498659
10.0179489,76.3498657
10.0179492,76.3498638
10.0179492,76.3498637
10.017952,76.3498599
10.017954,76.3498572
10.017954,76.3498572
10.0179549,76.3498559
10.0179551,76.3498556
10.0179553,76.3498547
10.0179554,76.3498543
10.0179559,76.3498523
10.017956,76.3498518
10.017958,76.34985
10.0179586,76.3498495
10.0179601,76.3498487
10.0179606,76.3498481
10.0179608,76.3498479
10.0179612,76.3498475
10.0179613,76.3498474
10.0179619,76.3498463
10.0179621,76.3498461
10.0179632,76.3498443
10.0179634,76.349844
10.0179648,76.3498425
10.0179649,76.3498424
10.0179646,76.349843
10.0179646,76.349843
10.0179649,76.349844
10.0179649,76.3498442
10.0179597,76.3498397
10.0179567,76.3498366
10.0179542,76.3498339
10.0179453,76.3498292
10.0179412,76.3498259
10.0179384,76.3498221
10.0179365,76.3498176
10.0179374,76.3498066
10.0179394,76.3498015
10.0179412,76.3497985
10.0179421,76.3497948
10.0179432,76.3497914
10.017944,76.3497878
10.0179445,76.3497847
10.017945,76.3497815
10.0179453,76.3497769
10.0179456,76.3497733
10.0179465,76.3497674
10.0179421,76.349758
10.0179426,76.3497549
10.017942,76.3497494
10.0179403,76.3497399
10.0179395,76.3497356
10.0179392,76.3497313
10.0179391,76.3497275
10.0179364,76.3497138
10.017932,76.3497075
10.0179309,76.3496958
10.0179308,76.3496777
10.0179315,76.3496673
10.0178897,76.3496703
10.0178647,76.3496657
10.0178465,76.3496646
10.0178246,76.3496497
10.017826,76.3496451
10.017827,76.3496399
10.0178244,76.3496348
10.017819,76.3496278
10.0178113,76.3496182
10.0178065,76.3496155
10.0178018,76.3496118
10.0177974,76.3496078
10.0178364,76.3495978
10.0178356,76.3495954
10.0178345,76.3495922
10.0178331,76.3495882
10.0178312,76.3495837
10.0178253,76.3495701
10.017822,76.349563
10.0178182,76.3495512
10.0178168,76.3495441
10.0178108,76.3495373
10.017806,76.349534
10.0178121,76.3495199
10.0178207,76.3495148
10.0178272,76.3495072
10.0178294,76.3495043
10.0178296,76.3494959
10.0178296,76.3494899
10.017829,76.3494824
10.0178286,76.3494765
10.0178278,76.3494694
10.0178251,76.3494512
10.0178238,76.3494466
10.017822,76.3494406
10.0178128,76.3494378
10.0178054,76.3494344
10.0177984,76.3494292
10.0177922,76.3494234
10.0177852,76.3494127
10.01778,76.3494064
10.0177757,76.3494014
10.0177486,76.3494054
10.0177129,76.349411
10.0177036,76.3493994
10.0176989,76.3493945
10.0176938,76.3493896
10.0176776,76.3493799
10.0176699,76.3493779
10.0176635,76.3493767
10.0176577,76.349377
10.0176513,76.3493724
10.0176459,76.3493683
10.0176413,76.3493649
10.0176355,76.3493636
10.0176212,76.349358
10.0176199,76.3493593
10.0176204,76.3493617
10.0176264,76.3493648
10.0176337,76.349369
10.0176389,76.3493729
10.017645,76.3493773
10.0176568,76.3493849
10.017661,76.349387
10.0176686,76.3493905
10.0176737,76.3493933
10.0176809,76.3493974
10.0176872,76.3494007
10.0176938,76.3494045
10.0176991,76.3494075
10.0177053,76.3494115
10.0177079,76.3494205
10.0177128,76.349436
10.0177166,76.3494396
10.0177214,76.3494447
10.0177249,76.3494487
10.0177292,76.3494541
10.0177333,76.3494601
10.0177354,76.3494638
10.0177385,76.3494691
10.0177372,76.3494824
10.0177375,76.3494913
10.0177396,76.3494996
10.0177414,76.3495061
10.0177471,76.3495162
10.0177613,76.3495297
10.0177677,76.349532
10.0177735,76.3495341
10.0177795,76.3495383
10.0177883,76.3495484
10.0177925,76.3495513
10.0177988,76.3495557
10.0178146,76.3495656
10.0178192,76.3495677
10.0178199,76.3495742
10.0178219,76.3495816
10.017824,76.349588
10.0178299,76.3495979
10.017837,76.349608
10.0178401,76.3496132
10.0178124,76.349662
10.0178171,76.3496699
10.0178287,76.3496794
10.0178352,76.3496821
10.0178462,76.3496857
10.017855,76.3496864
10.0178633,76.3496851
10.0178824,76.3496836
10.0178925,76.349683
10.0179038,76.3496819
10.0179101,76.3496821
10.0179201,76.3496826
10.0179314,76.349684
10.0179517,76.3496888
10.0179597,76.3496934
10.0179649,76.3496969
10.0179698,76.3497005
10.0179741,76.3497042
10.0134593,76.5447086
10.0179831,76.3497123
10.017985,76.3497165
10.0179866,76.3497187
10.0179623,76.3497349
10.0179608,76.3497317
10.0179599,76.3497265
10.0179595,76.3497226
10.0179627,76.349701
10.017965,76.3496936
